DATA_SET_NAME,Method,MAE,MSE,RMSE
D-ZEC_USDT,Prophet Method,0.5152402454363609,0.2760173107579572,0.525373496436542
D-ltc,Prophet Method,0.26700035024432606,0.07763338204133965,0.2786276763735786
D-ETC_USDT,Prophet Method,0.32959736433703896,0.15442511872389864,0.3929696155224964
D-TRX_USDT,Prophet Method,0.3563957447794749,0.15395838554303037,0.3923753120967607
D-bitcoin,Prophet Method,0.12271984900188855,0.021214908388245152,0.1456533844036765
D-eos,Prophet Method,0.06360562270868778,0.0066545551463616705,0.08157545676465239
D-neo,Prophet Method,0.22569530585692132,0.06236288340885288,0.24972561624481554
D-eth,Prophet Method,0.2539786338900134,0.0787739076367587,0.2806668980067986
D-link,Prophet Method,0.584903072584124,0.4534976499883576,0.6734223414680847
D-bnb,Prophet Method,0.5365014068487496,0.3215574080660679,0.5670603213645511
D-ADA_USDT,Prophet Method,0.2810709319083779,0.09553809423320989,0.30909237168395126
D-xrp,Prophet Method,0.12987139030101436,0.03456470265017675,0.18591584830287264
D-XLM_USDT,Prophet Method,0.43497048944137157,0.43012730824900197,0.6558409168761903
